Mod:Item:MetaData, Localized Name
ic2:plate:5, Свинцовая пластина
ic2:plate:6, Обсидиановая пластина
ic2:plate:7, Стальная пластина
ic2:plate:8, Оловянная пластина
ic2:plate:9, Плотная бронзовая пластина
ic2:plate:10, Плотная медная пластина
ic2:plate:11, Плотная золотая пластина
ic2:plate:12, Плотная железная пластина
ic2:plate:13, Плотная лазуритовая пластина
ic2:plate:14, Плотная свинцовая пластина
ic2:plate:15, Плотная обсидиановая пластина
ic2:plate:16, Плотная стальная пластина
ic2:plate:17, Плотная оловянная пластина
ic2:casing:0, Бронзовая оболочка
ic2:casing:1, Медная оболочка
ic2:casing:2, Золотая оболочка
ic2:casing:3, Железная оболочка
ic2:casing:4, Свинцовая оболочка
ic2:casing:5, Стальная оболочка
ic2:casing:6, Оловянная оболочка
ic2:nuclear:0, Обогащённое урановое ядерное топливо
ic2:nuclear:1, Уран-235
ic2:nuclear:2, Уран-238
ic2:nuclear:3, Плутоний
ic2:nuclear:4, Ядерное топливо MOX
ic2:nuclear:5, Кусочек урана-235
ic2:nuclear:6, Кусочек урана-238
ic2:nuclear:7, Кусочек плутония
ic2:nuclear:8, Пеллеты обогащённого уранового ядерного топлива
ic2:nuclear:9, Пеллеты ядерного топлива MOX
ic2:nuclear:10, Пеллета РИТЭГ-топлива
ic2:nuclear:11, Топливный стержень (Обеднённый уран)
ic2:nuclear:12, Сдвоенный топливный стержень (Обеднённый уран)
ic2:nuclear:13, Счетверённый топливный стержень (Обеднённый уран)
ic2:nuclear:14, Топливный стержень (Обеднённый MOX)
ic2:nuclear:15, Сдвоенный топливный стержень (Обеднённый MOX)
ic2:nuclear:16, Счетверённый топливный стержень (Обеднённый MOX)
ic2:misc_resource:0, Пепел
ic2:misc_resource:1, Иридиевая руда
ic2:misc_resource:2, Осколок иридия
ic2:misc_resource:3, Материя
ic2:misc_resource:4, Латекс
ic2:misc_resource:5, Шлак
ic2:misc_resource:6, Иод
ic2:misc_resource:7, Вода
ic2:misc_resource:8, Лава
ic2:crafting:0, Резина
ic2:crafting:1, Электросхема
ic2:crafting:2, Улучшенная электросхема
ic2:crafting:3, Композит
ic2:crafting:4, Укреплённая иридиевая пластина
ic2:crafting:5, Катушка
ic2:crafting:6, Электромотор
ic2:crafting:7, Теплопровод
ic2:crafting:8, Медный нагреватель
ic2:crafting:9, Топливный стержень (Пустой)
ic2:crafting:10, Консервная банка
ic2:crafting:11, Малый силовой агрегат
ic2:crafting:12, Силовой агрегат
ic2:crafting:13, Углеволокно
ic2:crafting:14, Углеткань
ic2:crafting:15, Углепластик
ic2:crafting:16, Угольный шарик
ic2:crafting:17, Сжатый угольный шарик
ic2:crafting:18, Угольная глыба
ic2:crafting:19, Промышленный алмаз
ic2:crafting:20, Биомасса
ic2:crafting:21, Отходы
ic2:crafting:23, Утильсырьё
ic2:crafting:24, Коробка утильсырья
ic2:crafting:25, Строительный порошок
ic2:crafting:27, Необработанный кристалл памяти
ic2:crafting:29, Железный стержень
ic2:crafting:30, Стальной стержень
ic2:crafting:31, Деревянная лопасть ротора
ic2:crafting:32, Железная лопасть ротора
ic2:crafting:33, Стальная лопасть ротора
ic2:crafting:34, Углеволоконная лопасть ротора
ic2:crafting:35, Лопасть паровой турбины
ic2:crafting:36, Паровая турбина
ic2:crafting:37, Крепёж для реактивного ранца
ic2:crafting:38, Промышленная монета
ic2:crafting:41, Бронзовая лопасть ротора
ic2:crafting:42, Бронзовый стержень
ic2:block_cutting_blade:0, Железный режущий диск
ic2:block_cutting_blade:1, Стальной режущий диск
ic2:block_cutting_blade:2, Алмазный режущий диск
ic2:upgrade_kit:0, Набор улучшения МФСУ
ic2:crop_stick, ic2.crop_stick.name
ic2:crop_res:0, Кофейные зёрна
ic2:crop_res:1, Молотый кофе
ic2:crop_res:2, Удобрение
ic2:crop_res:3, Токсичная пыль
ic2:crop_res:4, Хмель
ic2:crop_res:5, Сорняк
ic2:terra_wart, ic2.terra_wart.name
ic2:cropnalyzer, ic2.cropnalyzer.name
ic2:re_battery, ic2.re_battery.name
ic2:advanced_re_battery, ic2.advanced_re_battery.name
ic2:energy_crystal, ic2.energy_crystal.name
ic2:lapotron_crystal, ic2.lapotron_crystal.name
ic2:single_use_battery, ic2.single_use_battery.name
ic2:charging_re_battery, ic2.charging_re_battery.name
ic2:advanced_charging_re_battery, ic2.advanced_charging_re_battery.name
ic2:charging_energy_crystal, ic2.charging_energy_crystal.name
ic2:charging_lapotron_crystal, ic2.charging_lapotron_crystal.name
ic2:heat_storage, ic2.heat_storage.name
ic2:tri_heat_storage, ic2.tri_heat_storage.name
ic2:hex_heat_storage, ic2.hex_heat_storage.name
ic2:plating, ic2.plating.name
ic2:heat_plating, ic2.heat_plating.name
ic2:containment_plating, ic2.containment_plating.name
ic2:heat_exchanger, ic2.heat_exchanger.name
ic2:reactor_heat_exchanger, ic2.reactor_heat_exchanger.name
ic2:component_heat_exchanger, ic2.component_heat_exchanger.name
ic2:advanced_heat_exchanger, ic2.advanced_heat_exchanger.name
ic2:heat_vent, ic2.heat_vent.name
ic2:reactor_heat_vent, ic2.reactor_heat_vent.name
ic2:overclocked_heat_vent, ic2.overclocked_heat_vent.name
ic2:component_heat_vent, ic2.component_heat_vent.name
ic2:advanced_heat_vent, ic2.advanced_heat_vent.name
ic2:neutron_reflector, ic2.neutron_reflector.name
ic2:thick_neutron_reflector, ic2.thick_neutron_reflector.name
ic2:iridium_reflector, ic2.iridium_reflector.name
ic2:rsh_condensator, ic2.rsh_condensator.name
ic2:lzh_condensator, ic2.lzh_condensator.name
ic2:heatpack, ic2.heatpack.name
ic2:uranium_fuel_rod, ic2.uranium_fuel_rod.name
ic2:dual_uranium_fuel_rod, ic2.dual_uranium_fuel_rod.name
ic2:quad_uranium_fuel_rod, ic2.quad_uranium_fuel_rod.name
ic2:mox_fuel_rod, ic2.mox_fuel_rod.name
ic2:dual_mox_fuel_rod, ic2.dual_mox_fuel_rod.name
ic2:quad_mox_fuel_rod, ic2.quad_mox_fuel_rod.name
ic2:lithium_fuel_rod, ic2.lithium_fuel_rod.name
ic2:depleted_isotope_fuel_rod, ic2.depleted_isotope_fuel_rod.name
ic2:tfbp:0, Террачип
ic2:tfbp:1, Террачип "Охлаждение"
ic2:tfbp:2, Террачип "Озеленение"
ic2:tfbp:3, Террачип "Опустынивание"
ic2:tfbp:4, Террачип "Выравнивание"
ic2:tfbp:5, Террачип "Орошение"
ic2:tfbp:6, Террачип "Грибы"
ic2:bronze_axe, ic2.bronze_axe.name
ic2:bronze_hoe, ic2.bronze_hoe.name
ic2:bronze_pickaxe, ic2.bronze_pickaxe.name
ic2:bronze_shovel, ic2.bronze_shovel.name
ic2:bronze_sword, ic2.bronze_sword.name
ic2:cutter, ic2.cutter.name
ic2:debug_item, ic2.debug_item.name
ic2:foam_sprayer:0, Распылитель строительной пены
ic2:foam_sprayer:0, Распылитель строительной пены
ic2:forge_hammer, ic2.forge_hammer.name
ic2:frequency_transmitter, ic2.frequency_transmitter.name
ic2:meter, ic2.meter.name
ic2:tool_box, ic2.tool_box.name
ic2:treetap, ic2.treetap.name
ic2:wrench, ic2.wrench.name
ic2:wrench_new, ic2.wrench_new.name
ic2:crowbar, ic2.crowbar.name
ic2:containment_box, ic2.containment_box.name
ic2:weeding_trowel, ic2.weeding_trowel.name
ic2:crop_seed_bag, ic2.crop_seed_bag.name
ic2:advanced_scanner, ic2.advanced_scanner.name
ic2:chainsaw, ic2.chainsaw.name
ic2:diamond_drill, ic2.diamond_drill.name
ic2:drill, ic2.drill.name
ic2:electric_hoe, ic2.electric_hoe.name
ic2:electric_treetap, ic2.electric_treetap.name
ic2:electric_wrench, ic2.electric_wrench.name
ic2:iridium_drill, ic2.iridium_drill.name
ic2:mining_laser, ic2.mining_laser.name
ic2:nano_saber, ic2.nano_saber.name
ic2:obscurator, ic2.obscurator.name
ic2:scanner, ic2.scanner.name
ic2:wind_meter, ic2.wind_meter.name
ic2:painter:0, Валик
ic2:painter:0, Чёрный валик
ic2:painter:0, Синий валик
ic2:painter:0, Коричневый валик
ic2:painter:0, Бирюзовый валик
ic2:painter:0, Тёмно-серый валик
ic2:painter:0, Зелёный валик
ic2:painter:0, Голубой валик
ic2:painter:0, Светло-серый валик
ic2:painter:0, Лаймовый валик
ic2:painter:0, Сиреневый валик
ic2:painter:0, Оранжевый валик
ic2:painter:0, Розовый валик
ic2:painter:0, Фиолетовый валик
ic2:painter:0, Красный валик
ic2:painter:0, Белый валик
ic2:painter:0, Жёлтый валик
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:cable:0, Медный провод
ic2:cable:0, Изолированный медный провод
ic2:cable:1, Стекловолоконный провод
ic2:cable:2, Золотой провод
ic2:cable:2, Изолированный золотой провод
ic2:cable:2, Золотой провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод
ic2:cable:3, Изолированный высоковольтный провод
ic2:cable:3, Высоковольтный провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод с тройной изоляцией
ic2:cable:4, Оловянный провод
ic2:cable:4, Изолированный оловянный провод
ic2:cable:5, Провод-детектор
ic2:cable:6, Провод-разъединитель
ic2:upgrade:0, Улучшение "Ускоритель"
ic2:upgrade:1, Улучшение "Трансформатор"
ic2:upgrade:2, Улучшение "Энергохранитель"
ic2:upgrade:3, Улучшение "Инвертор сигнала красного камня"
ic2:upgrade:4, Улучшение "Выталкиватель"
ic2:upgrade:5, Улучшение "Улучшенный выталкиватель"
ic2:upgrade:6, Улучшение "Затягиватель"
ic2:upgrade:7, Улучшение "Улучшенный затягиватель"
ic2:upgrade:8, Улучшение "Выталкиватель жидкостей"
ic2:upgrade:9, Улучшение "Затягиватель жидкостей"
ic2:filled_tin_can, ic2.filled_tin_can.name
ic2:filled_fuel_can, ic2.filled_fuel_can.name
ic2:iodine_tablet, ic2.iodine_tablet.name
ic2:crystal_memory, ic2.crystal_memory.name
ic2:rotor_wood, ic2.rotor_wood.name
ic2:rotor_bronze, ic2.rotor_bronze.name
ic2:rotor_iron, ic2.rotor_iron.name
ic2:rotor_steel, ic2.rotor_steel.name
ic2:rotor_carbon, ic2.rotor_carbon.name
ic2:dynamite, ic2.dynamite.name
ic2:dynamite_sticky, ic2.dynamite_sticky.name
ic2:remote, ic2.remote.name
ic2:pipe:0, Тонкая бронзовая труба
ic2:pipe:0, Малая бронзовая труба
ic2:pipe:0, Средняя бронзовая труба
ic2:pipe:0, Большая бронзовая труба
ic2:pipe:1, Тонкая стальная труба
ic2:pipe:1, Малая стальная труба
ic2:pipe:1, Средняя стальная труба
ic2:pipe:1, Большая стальная труба
ic2:cover:0, Накладной насос низкого напряжения
ic2:cover:1, Накладной насос среднего напряжения
ic2:coke, ic2.coke.name
forestry:fertilizer_bio, Компост
forestry:fertilizer_compound, Минеральное удобрение
forestry:apatite, Апатит
forestry:research_note, Записи игрока %s
forestry:portable_alyzer, Портативный анализатор
forestry:ingot_copper, Медный слиток
forestry:ingot_tin, Оловянный слиток
forestry:ingot_bronze, Бронзовый слиток
forestry:wrench, Гаечный ключ
forestry:pipette, Пипетка
forestry:sturdy_machine, Прочный корпус
forestry:hardened_machine, Укреплённый корпус
forestry:impregnated_casing, Пропитанный корпус
forestry:flexible_casing, Гибкий корпус
forestry:crafting_material:0, Пульсирующая пыль
forestry:crafting_material:1, Пульсирующая сеть
forestry:crafting_material:2, Клочок шёлка
forestry:crafting_material:3, Тканый шёлк
forestry:crafting_material:4, Рассеивающий заряд
forestry:crafting_material:5, Осколок льда
forestry:crafting_material:6, Пропитанная обшивка
forestry:crafting_material:7, Маскировочная обшивка
forestry:naturalist_helmet, Очки
forestry:peat, Торф
forestry:ash, Пепел
forestry:bituminous_peat, Смолистый торф
forestry:gear_bronze, Бронзовая шестерня
forestry:gear_copper, Медная шестерня
forestry:gear_tin, Оловянная шестерня
forestry:chipsets:0, Основная печатная плата
forestry:chipsets:1, Продвинутая печатная плата
forestry:chipsets:2, Усовершенствованная печатная плата
forestry:chipsets:3, Усложнённая печатная плата
forestry:soldering_iron, Паяльник
forestry:carton, Картон
forestry:oak_stick, Полированная палка
forestry:wood_pulp, Древесная масса
forestry:broken_bronze_pickaxe, Сломанная кирка
forestry:broken_bronze_shovel, Сломанная лопата
forestry:bronze_pickaxe, Кирка выживающего
forestry:bronze_shovel, Лопата выживающего
forestry:kit_shovel, Сборная лопата
forestry:kit_pickaxe, Сборная кирка
forestry:mouldy_wheat, Плесневелая пшеница
forestry:decaying_wheat, Загнивающая пшеница
forestry:mulch, Мульча
forestry:iodine_capsule, Капсула йода
forestry:phosphor, Фосфор
forestry:beeswax, Пчелиный воск
forestry:refractory_wax, Огнеупорный воск
forestry:fruits:0, Вишня
forestry:fruits:1, Грецкий орех
forestry:fruits:2, Каштан
forestry:fruits:3, Лимон
forestry:fruits:4, Слива
forestry:fruits:5, Финик
forestry:fruits:6, Папайя
forestry:analyzer:0, Анализатор
forestry:escritoire:0, Секретер
forestry:bog_earth:0, Болотная земля
forestry:humus:0, Гумус
forestry:resources:0, Апатитовая руда
forestry:resources:1, Медная руда
forestry:resources:2, Оловянная руда
forestry:resource_storage:0, Апатитовый блок
forestry:resource_storage:1, Медный блок
forestry:resource_storage:2, Оловянный блок
forestry:resource_storage:3, Бронзовый блок
forestry:ash_brick:0, Кирпичи из золы
forestry:ash_stairs:0, Ступеньки из золы
forestry:apiarist_bag, Рюкзак пчеловода
forestry:lepidopterist_bag, Рюкзак лепидоптеролога
forestry:miner_bag, Рюкзак шахтёра
forestry:miner_bag_t2, Тканый рюкзак шахтёра
forestry:digger_bag, Рюкзак землекопа
forestry:digger_bag_t2, Тканый рюкзак землекопа
forestry:forester_bag, Рюкзак лесника
forestry:forester_bag_t2, Тканый рюкзак лесника
forestry:hunter_bag, Рюкзак охотника
forestry:hunter_bag_t2, Тканый рюкзак охотника
forestry:adventurer_bag, Рюкзак авантюриста
forestry:adventurer_bag_t2, Тканый рюкзак авантюриста
forestry:builder_bag, Рюкзак строителя
forestry:builder_bag_t2, Тканый рюкзак строителя
forestry:engine_peat:0, Торфяной двигатель
forestry:engine_biogas:0, Биогазовый двигатель
forestry:engine_clockwork:0, Заводной двигатель
forestry:mushroom:0, tile.for.mushroom.name
forestry:mushroom:1, tile.for.mushroom.name
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:database:0, База данных
forestry:charcoal:0, Блок древесного угля
forestry:wood_pile:0, Охапка дров
forestry:wood_pile_decorative:0, Декоративная охапка дров
forestry:ash_block_0:0, Блок пепла
forestry:ash_block_1:0, Блок пепла
forestry:ash_block_2:0, Блок пепла
forestry:ash_block_3:0, Блок пепла
forestry:loam:0, Суглинок
forestry:arboretum:0, Дендрарий (управляемый)
forestry:arboretum:1, Дендрарий (руководство)
forestry:farm_crops:0, Ферма (управляемый)
forestry:farm_crops:1, Ферма (руководство)
forestry:farm_mushroom:0, Грибная ферма (управляемый)
forestry:farm_mushroom:1, Грибная ферма (руководство)
forestry:farm_gourd:0, Ферма бахчевых (управляемый)
forestry:farm_gourd:1, Ферма бахчевых (руководство)
forestry:farm_nether:0, Адская ферма (управляемый)
forestry:farm_nether:1, Адская ферма (руководство)
forestry:farm_ender:0, Ферма Края (управляемый)
forestry:farm_ender:1, Ферма Края (руководство)
forestry:peat_bog:0, Торфяник (управляемый)
forestry:peat_bog:1, Торфяник (руководство)
forestry:crate, Ящик
forestry:fluid.bio.ethanol, Этанол
forestry:fluid.biomass, Биомасса
forestry:fluid.glass, Жидкое стекло
forestry:fluid.for.honey, Мёд
forestry:fluid.ice, Молотый лёд
forestry:fluid.juice, Фруктовый сок
forestry:fluid.milk, Молоко
forestry:fluid.seed.oil, Растительное масло
forestry:fluid.short.mead, Питный мёд
forestry:can, item.for.can.name
forestry:capsule, item.for.capsule.name
forestry:refractory, item.for.refractory.name
forestry:greenhouse:0, Парниковый блок
forestry:greenhouse:3, Распределитель парниковой энергии
forestry:greenhouse:4, Парниковый контроль
forestry:greenhouse:5, Парниковый экран
forestry:climatiser:0, Тепличный терморегулятор
forestry:climatiser:1, Подогреватель парника
forestry:climatiser:2, Вентилятор парника
forestry:climatiser:3, Увлажнитель парника
forestry:climatiser:4, Осушитель парника
forestry:greenhouse.window:0, Окно парника
forestry:greenhouse.window_up:0, Окно крыши парника
forestry:grafter, Садовый нож
forestry:grafter_proven, Проверенный садовый нож
forestry:logs.0:0, Древесина лиственницы
forestry:logs.0:1, Древесина тикового дерева
forestry:logs.0:2, Древесина акации
forestry:logs.0:3, Древесина липы
forestry:logs.1:0, Древесина каштана
forestry:logs.1:1, Древесина дерева Венге
forestry:logs.1:2, Древесина баобаба
forestry:logs.1:3, Древесина секвойи
forestry:logs.2:0, Древесина хлопкового дерева
forestry:logs.2:1, Древесина мирта
forestry:logs.2:2, Древесина красного дерева
forestry:logs.2:3, Древесина бальзы
forestry:logs.3:0, Древесина ивы
forestry:logs.3:1, Древесина орехового дерева
forestry:logs.3:2, Древесина гринхарта
forestry:logs.3:3, Древесина вишнёвого дерева
forestry:logs.4:0, Древесина гибискуса
forestry:logs.4:1, Древесина тополя
forestry:logs.4:2, Древесина пальмы
forestry:logs.4:3, Древесина дынного дерева
forestry:logs.5:0, Древесина сосны
forestry:logs.5:1, Древесина сливового дерева
forestry:logs.5:2, Древесина клёна
forestry:logs.5:3, Древесина цитрусового дерева
forestry:logs.6:0, Древесина гигантской секвойи
forestry:logs.6:1, Древесина муравьиного дерева
forestry:logs.6:2, Древесина падука
forestry:logs.6:3, Древесина кокоболо
forestry:logs.7:0, Древесина зебрано
forestry:logs.fireproof.0:0, Древесина лиственницы (огнестойкость)
forestry:logs.fireproof.0:1, Древесина тикового дерева (огнестойкость)
forestry:logs.fireproof.0:2, Древесина акации (огнестойкость)
forestry:logs.fireproof.0:3, Древесина липы (огнестойкость)
forestry:logs.fireproof.1:0, Древесина каштана (огнестойкость)
forestry:logs.fireproof.1:1, Древесина дерева Венге (огнестойкость)
forestry:logs.fireproof.1:2, Древесина баобаба (огнестойкость)
forestry:logs.fireproof.1:3, Древесина секвойи (огнестойкость)
forestry:logs.fireproof.2:0, Древесина хлопкового дерева (огнестойкость)
forestry:logs.fireproof.2:1, Древесина мирта (огнестойкость)
forestry:logs.fireproof.2:2, Древесина красного дерева (огнестойкость)
forestry:logs.fireproof.2:3, Древесина бальзы (огнестойкость)
forestry:logs.fireproof.3:0, Древесина ивы (огнестойкость)
forestry:logs.fireproof.3:1, Древесина орехового дерева (огнестойкость)
forestry:logs.fireproof.3:2, Древесина гринхарта (огнестойкость)
forestry:logs.fireproof.3:3, Древесина вишнёвого дерева (огнестойкость)
forestry:logs.fireproof.4:0, Древесина гибискуса (огнестойкость)
forestry:logs.fireproof.4:1, Древесина тополя (огнестойкость)
forestry:logs.fireproof.4:2, Древесина пальмы (огнестойкость)
forestry:logs.fireproof.4:3, Древесина дынного дерева (огнестойкость)
